Государство или межправительственная организация;Код;Количество заявок из России в другие страны
Германия;DE;53363
Франция;FR;39996
Ведомство Европейского союза по интеллектуальной собственности;EM;39490
Италия;IT;33552
Швейцария;CH;28215
Китай;CN;22838
Соединенные Штаты Америки;US;22388
Ведомство Бенилюкса по интеллектуальной собственности;BX;19138
Турция;TR;9163
Испания;ES;8486
Великобритания;GB;8297
Германия (Запад);DT;7887
Япония;JP;7116
Австрия;AT;6916
Чехия;CZ;4790
Польша;PL;4258
Украина;UA;3480
Венгрия;HU;3378
Корея, Республика;KR;2877
Дания;DK;2712
Финляндия;FI;2675
Австралия;AU;2642
Болгария;BG;2446
Швеция;SE;2262
Беларусь;BY;2037
Словения;SI;1583
Лихтенштейн;LI;1467
Норвегия;NO;1350
Латвия;LV;1235
Словакия;SK;1135
Португалия;PT;1066
Сингапур;SG;1045
Казахстан;KZ;972
Литва;LT;849
Сербия;RS;770
Израиль;IL;770
Республика Молдова;MD;602
Монако;MC;598
Хорватия;HR;582
Румыния;RO;559
Чехословакия;CS;547
Эстония;EE;512
Ирландия;IE;509
Вьетнам;VN;470
Греция;GR;443
Югославия;YU;336
Индия;IN;333
Новая Зеландия;NZ;328
Исландия;IS;274
Армения;AM;267
Египет;EG;228
Иран (Исламская республика);IR;206
Грузия;GE;205
Марокко;MA;193
Сан-Марино;SM;190
Кипр;CY;184
Германская Демократическая Республика;DD;131
Канада;CA;127
Азербайджан;AZ;100
Северная Македония;MK;88
Куба;CU;78
Босния и Герцеговина;BA;74
Мексика;MX;70
Узбекистан;UZ;69
Алжир;DZ;64
Таиланд;TH;57
Филиппины;PH;49
Кыргызстан;KG;48
Нидерландские Антильские острова;AN;45
Черногория;ME;44
Корейская Народно-Демократическая Республика;KP;39
Тунис;TN;31
Монголия;MN;30
Сирийская Арабская Республика;SY;26
Кюрасао;CW;26
Бразилия;BR;23
Албания;AL;22
Колумбия;CO;20
Индонезия;ID;13
Кения;KE;12
Малайзия;MY;11
Таджикистан;TJ;10
Оман;OM;6
Туркменистан;TM;3
Африканская организация интеллектуальной собственности;OA;3
Бахрейн;BH;3
Антигуа и Барбуда;AG;2
Ботсвана;BW;2
Бонэйр, Синт-Эстатиус и Саба;BQ;1
Мадагаскар;MG;1
Сен-Мартен (нидерландская часть);SX;1
Лаосская Народно-Демократическая Республика;LA;1
Камбоджа;KH;1
Зимбабве;ZW;1
Советский Союз;SU;1
Намибия;NA;1
Мозамбик;MZ;1
